id_artykul,tytul,podtytul,data_utworzenia,status,data_zmiany
31,Nowe trendy w projektowaniu wnętrz,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.",2024-01-23 19:15:00,W KOREKCIE,2024-01-23 23:30:00
32,Przyszłość przemysłu 4.0,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-23 20:00:00,FINALIZACJA,2024-01-24 00:15:00
33,Sztuczna inteligencja w obszarze zdrowia,"Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2024-01-23 20:45:00,UTWORZONY,2024-01-24 01:00:00
34,Innowacyjne metody zarządzania produkcją,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-23 21:30:00,UTWORZONY,2024-01-24 02:45:00
35,Nowe trendy w dziedzinie sztuki,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.",2024-01-23 22:15:00,W KOREKCIE,2024-01-24 03:30:00
36,Przyszłość bankowości cyfrowej,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-23 23:00:00,FINALIZACJA,2024-01-24 04:15:00
37,Nowe trendy w turystyce,"Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2024-01-23 23:45:00,UTWORZONY,2024-01-24 05:00:00
38,Zastosowanie sztucznej inteligencji w edukacji,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 00:30:00,UTWORZONY,2024-01-24 06:45:00
39,Innowacje w branży spożywczej,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.",2024-01-24 01:15:00,W KOREKCIE,2024-01-24 07:30:00
40,Rola sztucznej inteligencji w przemyśle filmowym,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-24 02:00:00,FINALIZACJA,2024-01-24 08:15:00
41,Przyszłość rynku nieruchomości,"Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2024-01-24 02:45:00,UTWORZONY,2024-01-24 09:00:00
42,Wykorzystanie sztucznej inteligencji w sportach elektronicznych,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 03:30:00,UTWORZONY,2024-01-24 10:45:00
43,Nowe trendy w dziedzinie sztucznej inteligencji,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.",2024-01-24 04:15:00,W KOREKCIE,2024-01-24 11:30:00
